x,y,z
-0.124849,0.230478,-0.093766
-0.124849,0.215329,-0.109088
-0.124849,0.215329,-0.109088
-0.109603,0.200179,-0.109088
-0.094357,0.230478,-0.078443
-0.109603,0.215329,-0.093766
-0.140096,0.245627,-0.093766
-0.124849,0.230478,-0.124411
-0.094357,0.260777,-0.093766
-0.124849,0.230478,-0.078443
-0.140096,0.230478,-0.093766
-0.140096,0.245627,-0.078443
-0.124849,0.260777,-0.078443
-0.109603,0.245627,-0.078443
-0.109603,0.245627,-0.078443
-0.140096,0.245627,-0.109088
-0.094357,0.230478,-0.093766
-0.109603,0.260777,-0.06312
-0.124849,0.245627,-0.078443
-0.155342,0.245627,-0.06312
-0.170589,0.260777,-0.078443
-0.170589,0.245627,-0.093766
-0.155342,0.275926,-0.06312
-0.124849,0.275926,-0.06312
-0.109603,0.245627,-0.06312
-0.124849,0.260777,-0.093766
-0.124849,0.260777,-0.06312
-0.124849,0.291075,-0.078443
-0.124849,0.260777,-0.06312
-0.109603,0.291075,-0.078443
-0.124849,0.291075,-0.078443
-0.140096,0.245627,-0.078443
-0.140096,0.245627,-0.078443
-0.109603,0.260777,-0.078443
-0.155342,0.260777,-0.093766
-0.094357,0.245627,-0.078443
-0.109603,0.275926,-0.078443
-0.063864,0.275926,-0.078443
-0.063864,0.291075,-0.078443
-0.109603,0.260777,-0.078443
-0.170589,0.230478,-0.06312
-0.155342,0.245627,-0.06312
-0.140096,0.275926,-0.078443
-0.109603,0.275926,-0.06312
-0.07911,0.260777,-0.06312
-0.109603,0.275926,-0.06312
-0.109603,0.275926,-0.109088
-0.124849,0.291075,-0.109088
-0.094357,0.260777,-0.093766
-0.140096,0.230478,-0.078443
-0.155342,0.275926,-0.06312
-0.140096,0.260777,-0.06312
-0.124849,0.260777,-0.06312
-0.124849,0.260777,-0.047798
-0.155342,0.230478,-0.06312
-0.109603,0.260777,-0.093766
-0.094357,0.260777,-0.06312
-0.094357,0.245627,-0.06312
-0.094357,0.275926,-0.047798
-0.124849,0.260777,-0.047798
-0.109603,0.260777,-0.06312
-0.094357,0.275926,-0.093766
-0.094357,0.275926,-0.06312
-0.109603,0.291075,-0.047798
-0.140096,0.275926,-0.06312
-0.124849,0.260777,-0.047798
-0.155342,0.260777,-0.047798
-0.140096,0.275926,-0.06312
-0.124849,0.291075,-0.047798
-0.124849,0.275926,-0.078443
-0.140096,0.245627,-0.078443
-0.124849,0.245627,-0.06312
-0.109603,0.275926,-0.047798
-0.109603,0.291075,-0.078443
-0.155342,0.275926,-0.047798
-0.124849,0.260777,-0.06312
-0.124849,0.260777,-0.047798
-0.109603,0.245627,-0.06312
-0.155342,0.260777,-0.06312
-0.109603,0.260777,-0.078443
-0.07911,0.260777,-0.06312
-0.07911,0.275926,-0.06312
-0.07911,0.260777,-0.047798
-0.094357,0.245627,-0.06312
-0.063864,0.260777,-0.06312
-0.07911,0.245627,-0.047798
-0.07911,0.260777,-0.032475
-0.07911,0.260777,-0.047798
-0.094357,0.275926,-0.032475
-0.109603,0.260777,-0.078443
-0.124849,0.291075,-0.06312
-0.094357,0.245627,-0.078443
-0.109603,0.260777,-0.06312
-0.109603,0.275926,-0.06312
-0.109603,0.275926,-0.06312
-0.07911,0.260777,-0.093766
-0.124849,0.291075,-0.047798
-0.109603,0.260777,-0.078443
-0.094357,0.275926,-0.047798
-0.07911,0.275926,-0.06312
-0.063864,0.275926,-0.078443
-0.094357,0.260777,-0.032475
-0.109603,0.260777,-0.032475
-0.109603,0.260777,-0.047798
-0.140096,0.260777,-0.06312
-0.109603,0.260777,-0.06312
-0.094357,0.260777,-0.047798
-0.109603,0.275926,-0.032475
-0.094357,0.306224,-0.032475
-0.063864,0.260777,-0.032475
-0.063864,0.275926,-0.047798
-0.094357,0.291075,-0.032475
-0.140096,0.291075,-0.047798
-0.109603,0.275926,-0.017152
-0.140096,0.291075,-0.017152
-0.094357,0.291075,-0.032475
-0.109603,0.291075,-0.032475
-0.094357,0.291075,-0.047798
-0.094357,0.291075,-0.047798
-0.07911,0.275926,-0.017152
-0.109603,0.291075,-0.017152
-0.063864,0.306224,-0.032475
-0.109603,0.291075,-0.047798
-0.124849,0.260777,-0.032475
-0.109603,0.260777,-0.032475
-0.07911,0.260777,-0.06312
-0.07911,0.291075,-0.032475
-0.094357,0.291075,-0.032475
-0.07911,0.291075,-0.017152
-0.124849,0.291075,-0.017152
-0.155342,0.260777,-0.032475
-0.140096,0.291075,-0.047798
-0.07911,0.275926,-0.032475
-0.109603,0.275926,-0.047798
-0.109603,0.245627,-0.06312
-0.094357,0.260777,-0.047798
-0.109603,0.260777,-0.032475
-0.109603,0.260777,-0.047798
-0.124849,0.245627,-0.032475
-0.109603,0.260777,-0.032475
-0.094357,0.260777,-0.032475
-0.109603,0.260777,-0.047798
-0.124849,0.260777,-0.032475
-0.109603,0.260777,-0.047798
-0.124849,0.245627,-0.032475
-0.07911,0.260777,-0.047798
-0.109603,0.260777,-0.047798
-0.124849,0.260777,-0.047798
-0.094357,0.260777,-0.032475
-0.094357,0.291075,-0.047798
-0.109603,0.291075,-0.032475
-0.109603,0.260777,-0.047798
-0.07911,0.260777,-0.032475
-0.07911,0.275926,-0.032475
-0.094357,0.291075,-0.032475
-0.07911,0.291075,-0.032475
-0.07911,0.291075,-0.032475
-0.124849,0.275926,-0.017152
-0.155342,0.291075,-0.017152
-0.109603,0.260777,-0.047798
-0.109603,0.260777,-0.017152
-0.094357,0.291075,-0.032475
-0.094357,0.260777,-0.032475
-0.094357,0.260777,-0.032475
-0.094357,0.260777,-0.032475
-0.109603,0.260777,-0.032475
-0.094357,0.291075,-0.032475
-0.094357,0.260777,-0.032475
-0.094357,0.230478,-0.032475
-0.07911,0.260777,-0.017152
-0.063864,0.245627,-0.032475
-0.094357,0.291075,-0.032475
-0.07911,0.245627,-0.032475
-0.109603,0.245627,-0.032475
-0.063864,0.215329,-0.032475
-0.063864,0.245627,-0.032475
-0.07911,0.245627,-0.017152
-0.07911,0.260777,-0.032475
-0.109603,0.260777,-0.032475
-0.124849,0.260777,-0.032475
-0.140096,0.260777,-0.017152
-0.140096,0.275926,-0.017152
-0.109603,0.275926,-0.032475
-0.109603,0.275926,-0.047798
-0.07911,0.260777,-0.032475
-0.07911,0.260777,-0.017152
-0.094357,0.260777,-0.001829
-0.094357,0.260777,-0.001829
-0.07911,0.245627,-0.032475
-0.109603,0.260777,-0.032475
-0.094357,0.245627,-0.001829
-0.094357,0.275926,-0.001829
-0.048618,0.275926,-0.001829
-0.063864,0.260777,-0.032475
-0.109603,0.260777,-0.047798
-0.109603,0.260777,-0.017152
-0.124849,0.260777,-0.017152
-0.07911,0.291075,-0.032475
-0.063864,0.260777,-0.001829
-0.048618,0.260777,-0.06312
-0.094357,0.230478,-0.032475
-0.094357,0.245627,-0.017152
-0.07911,0.260777,-0.032475
-0.07911,0.260777,-0.017152
-0.07911,0.260777,-0.017152
-0.094357,0.260777,-0.017152
-0.063864,0.245627,-0.001829
-0.07911,0.245627,-0.017152
-0.063864,0.260777,-0.017152
-0.048618,0.245627,-0.047798
-0.063864,0.260777,-0.017152
-0.063864,0.260777,-0.032475
-0.07911,0.215329,-0.032475
-0.07911,0.260777,-0.017152
-0.094357,0.260777,-0.017152
-0.063864,0.230478,-0.017152
-0.048618,0.245627,-0.017152
-0.063864,0.245627,-0.017152
-0.063864,0.230478,-0.032475
-0.07911,0.275926,-0.001829
-0.109603,0.230478,-0.001829
-0.094357,0.230478,-0.001829
-0.063864,0.260777,-0.001829
-0.048618,0.245627,-0.001829
-0.07911,0.230478,-0.017152
-0.033371,0.245627,-0.001829
-0.048618,0.260777,-0.001829
-0.048618,0.275926,0.028816
-0.063864,0.291075,0.028816
-0.063864,0.260777,0.028816
-0.048618,0.200179,-0.047798
-0.063864,0.230478,-0.047798
-0.07911,0.291075,0.013493
-0.033371,0.245627,-0.017152
-0.063864,0.275926,0.013493
-0.018125,0.200179,-0.047798
-0.048618,0.18503,-0.06312
-0.109603,0.230478,-0.001829
